dataset,linkage,metric,noise,ari_median,ari_mean,pairs
Gapminder,single,euclidean,0.0,0.8198219858997179,0.7153829834991561,10
Gapminder,single,euclidean,0.02,0.8098030995091945,0.7007284630583419,10
Gapminder,single,cityblock,0.0,0.8198219858997179,0.7153829834991561,10
Gapminder,single,cityblock,0.02,0.8098030995091945,0.7007284630583419,10
Gapminder,complete,euclidean,0.0,0.8198219858997179,0.7153829834991561,10
Gapminder,complete,euclidean,0.02,0.8098030995091945,0.7007284630583419,10
Gapminder,complete,cityblock,0.0,0.8198219858997179,0.7153829834991561,10
Gapminder,complete,cityblock,0.02,0.8098030995091945,0.7007284630583419,10
Gapminder,ward,euclidean,0.0,0.8198219858997179,0.7153829834991561,10
Gapminder,ward,euclidean,0.02,0.8098030995091945,0.7007284630583419,10
