dataset,linkage,metric,noise,family,seed,base,jaccard_median,runs
Gapminder,complete,cityblock,0.0,continent,Africa,base,1.0,5
Gapminder,complete,cityblock,0.0,continent,Africa,clusters,0.9433962264150944,5
Gapminder,complete,cityblock,0.0,continent,Africa,gen_base_1,1.0,5
Gapminder,complete,cityblock,0.0,continent,Africa,gen_base_2,1.0,5
Gapminder,complete,cityblock,0.0,continent,Americas,base,1.0,5
Gapminder,complete,cityblock,0.0,continent,Americas,clusters,1.0,5
Gapminder,complete,cityblock,0.0,continent,Americas,gen_base_1,1.0,5
Gapminder,complete,cityblock,0.0,continent,Americas,gen_base_2,1.0,5
Gapminder,complete,cityblock,0.0,continent,Asia,base,1.0,5
Gapminder,complete,cityblock,0.0,continent,Asia,clusters,1.0,5
Gapminder,complete,cityblock,0.0,continent,Asia,gen_base_1,1.0,5
Gapminder,complete,cityblock,0.0,continent,Asia,gen_base_2,1.0,5
Gapminder,complete,cityblock,0.0,continent,Europe,base,1.0,5
Gapminder,complete,cityblock,0.0,continent,Europe,clusters,1.0,5
Gapminder,complete,cityblock,0.0,continent,Europe,gen_base_1,1.0,5
Gapminder,complete,cityblock,0.0,continent,Europe,gen_base_2,1.0,5
Gapminder,complete,cityblock,0.0,continent,Oceania,base,1.0,5
Gapminder,complete,cityblock,0.0,continent,Oceania,clusters,0.85,5
Gapminder,complete,cityblock,0.0,continent,Oceania,gen_base_1,1.0,5
Gapminder,complete,cityblock,0.0,continent,Oceania,gen_base_2,1.0,5
Gapminder,complete,cityblock,0.0,development,High,base,1.0,5
Gapminder,complete,cityblock,0.0,development,High,clusters,0.425531914893617,5
Gapminder,complete,cityblock,0.0,development,High,gen_base_1,1.0,5
Gapminder,complete,cityblock,0.0,development,High,gen_base_2,1.0,5
Gapminder,complete,cityblock,0.0,development,Low,base,1.0,5
Gapminder,complete,cityblock,0.0,development,Low,clusters,0.9583333333333334,5
Gapminder,complete,cityblock,0.0,development,Low,gen_base_1,1.0,5
Gapminder,complete,cityblock,0.0,development,Low,gen_base_2,1.0,5
Gapminder,complete,cityblock,0.0,development,MedHigh,base,1.0,5
Gapminder,complete,cityblock,0.0,development,MedHigh,clusters,0.5081967213114754,5
Gapminder,complete,cityblock,0.0,development,MedHigh,gen_base_1,1.0,5
Gapminder,complete,cityblock,0.0,development,MedHigh,gen_base_2,1.0,5
Gapminder,complete,cityblock,0.0,development,MedLow,base,1.0,5
Gapminder,complete,cityblock,0.0,development,MedLow,clusters,0.9444444444444444,5
Gapminder,complete,cityblock,0.0,development,MedLow,gen_base_1,1.0,5
Gapminder,complete,cityblock,0.0,development,MedLow,gen_base_2,1.0,5
Gapminder,complete,cityblock,0.0,income,High,base,1.0,5
Gapminder,complete,cityblock,0.0,income,High,clusters,0.425531914893617,5
Gapminder,complete,cityblock,0.0,income,High,gen_base_1,1.0,5
Gapminder,complete,cityblock,0.0,income,High,gen_base_2,1.0,5
Gapminder,complete,cityblock,0.0,income,Low,base,1.0,5
Gapminder,complete,cityblock,0.0,income,Low,clusters,0.9433962264150944,5
Gapminder,complete,cityblock,0.0,income,Low,gen_base_1,1.0,5
Gapminder,complete,cityblock,0.0,income,Low,gen_base_2,1.0,5
Gapminder,complete,cityblock,0.0,income,MedHigh,base,1.0,5
Gapminder,complete,cityblock,0.0,income,MedHigh,clusters,0.8688524590163934,5
Gapminder,complete,cityblock,0.0,income,MedHigh,gen_base_1,1.0,5
Gapminder,complete,cityblock,0.0,income,MedHigh,gen_base_2,1.0,5
Gapminder,complete,cityblock,0.0,income,MedLow,base,1.0,5
Gapminder,complete,cityblock,0.0,income,MedLow,clusters,0.9444444444444444,5
Gapminder,complete,cityblock,0.0,income,MedLow,gen_base_1,1.0,5
Gapminder,complete,cityblock,0.0,income,MedLow,gen_base_2,1.0,5
Gapminder,complete,cityblock,0.02,continent,Africa,base,0.8276478232618583,5
Gapminder,complete,cityblock,0.02,continent,Africa,clusters,0.9444444444444444,5
Gapminder,complete,cityblock,0.02,continent,Africa,gen_base_1,0.9702970297029703,5
Gapminder,complete,cityblock,0.02,continent,Africa,gen_base_2,1.0,5
Gapminder,complete,cityblock,0.02,continent,Americas,base,0.7416666666666667,5
Gapminder,complete,cityblock,0.02,continent,Americas,clusters,1.0,5
Gapminder,complete,cityblock,0.02,continent,Americas,gen_base_1,0.9039606227106227,5
Gapminder,complete,cityblock,0.02,continent,Americas,gen_base_2,1.0,5
Gapminder,complete,cityblock,0.02,continent,Asia,base,0.7809684684684685,5
Gapminder,complete,cityblock,0.02,continent,Asia,clusters,1.0,5
Gapminder,complete,cityblock,0.02,continent,Asia,gen_base_1,0.8711233211233211,5
Gapminder,complete,cityblock,0.02,continent,Asia,gen_base_2,1.0,5
Gapminder,complete,cityblock,0.02,continent,Europe,base,0.875,5
Gapminder,complete,cityblock,0.02,continent,Europe,clusters,0.9841545352743561,5
Gapminder,complete,cityblock,0.02,continent,Europe,gen_base_1,0.9367088607594937,5
Gapminder,complete,cityblock,0.02,continent,Europe,gen_base_2,1.0,5
Gapminder,complete,cityblock,0.02,continent,Oceania,base,0.7142857142857143,5
Gapminder,complete,cityblock,0.02,continent,Oceania,clusters,0.8947368421052632,5
Gapminder,complete,cityblock,0.02,continent,Oceania,gen_base_1,0.75,5
Gapminder,complete,cityblock,0.02,continent,Oceania,gen_base_2,0.976547346147064,5
Gapminder,complete,cityblock,0.02,development,High,base,0.95,5
Gapminder,complete,cityblock,0.02,development,High,clusters,0.9841545352743561,5
Gapminder,complete,cityblock,0.02,development,High,gen_base_1,0.8222135007849294,5
Gapminder,complete,cityblock,0.02,development,High,gen_base_2,0.9692307692307692,5
Gapminder,complete,cityblock,0.02,development,Low,base,0.9761904761904762,5
Gapminder,complete,cityblock,0.02,development,Low,clusters,0.9285714285714286,5
Gapminder,complete,cityblock,0.02,development,Low,gen_base_1,0.9433962264150944,5
Gapminder,complete,cityblock,0.02,development,Low,gen_base_2,0.9830508474576272,5
Gapminder,complete,cityblock,0.02,development,MedHigh,base,0.8736702127659575,5
Gapminder,complete,cityblock,0.02,development,MedHigh,clusters,0.5163934426229508,5
Gapminder,complete,cityblock,0.02,development,MedHigh,gen_base_1,0.9807692307692307,5
Gapminder,complete,cityblock,0.02,development,MedHigh,gen_base_2,1.0,5
Gapminder,complete,cityblock,0.02,development,MedLow,base,0.9090439276485788,5
Gapminder,complete,cityblock,0.02,development,MedLow,clusters,0.9629629629629629,5
Gapminder,complete,cityblock,0.02,development,MedLow,gen_base_1,0.9058823529411765,5
Gapminder,complete,cityblock,0.02,development,MedLow,gen_base_2,1.0,5
Gapminder,complete,cityblock,0.02,income,High,base,1.0,5
Gapminder,complete,cityblock,0.02,income,High,clusters,0.425531914893617,5
Gapminder,complete,cityblock,0.02,income,High,gen_base_1,1.0,5
Gapminder,complete,cityblock,0.02,income,High,gen_base_2,1.0,5
Gapminder,complete,cityblock,0.02,income,Low,base,0.9248381128584644,5
Gapminder,complete,cityblock,0.02,income,Low,clusters,0.9444444444444444,5
Gapminder,complete,cityblock,0.02,income,Low,gen_base_1,0.9545454545454546,5
Gapminder,complete,cityblock,0.02,income,Low,gen_base_2,0.9578684674104522,5
Gapminder,complete,cityblock,0.02,income,MedHigh,base,0.9186046511627907,5
Gapminder,complete,cityblock,0.02,income,MedHigh,clusters,0.8688524590163934,5
Gapminder,complete,cityblock,0.02,income,MedHigh,gen_base_1,0.9546957671957672,5
Gapminder,complete,cityblock,0.02,income,MedHigh,gen_base_2,1.0,5
Gapminder,complete,cityblock,0.02,income,MedLow,base,0.827229004809471,5
Gapminder,complete,cityblock,0.02,income,MedLow,clusters,0.9629629629629629,5
Gapminder,complete,cityblock,0.02,income,MedLow,gen_base_1,0.9349881796690307,5
Gapminder,complete,cityblock,0.02,income,MedLow,gen_base_2,1.0,5
Gapminder,complete,euclidean,0.0,continent,Africa,base,1.0,5
Gapminder,complete,euclidean,0.0,continent,Africa,clusters,0.9433962264150944,5
Gapminder,complete,euclidean,0.0,continent,Africa,gen_base_1,1.0,5
Gapminder,complete,euclidean,0.0,continent,Africa,gen_base_2,1.0,5
Gapminder,complete,euclidean,0.0,continent,Americas,base,1.0,5
Gapminder,complete,euclidean,0.0,continent,Americas,clusters,1.0,5
Gapminder,complete,euclidean,0.0,continent,Americas,gen_base_1,1.0,5
Gapminder,complete,euclidean,0.0,continent,Americas,gen_base_2,1.0,5
Gapminder,complete,euclidean,0.0,continent,Asia,base,1.0,5
Gapminder,complete,euclidean,0.0,continent,Asia,clusters,1.0,5
Gapminder,complete,euclidean,0.0,continent,Asia,gen_base_1,1.0,5
Gapminder,complete,euclidean,0.0,continent,Asia,gen_base_2,1.0,5
Gapminder,complete,euclidean,0.0,continent,Europe,base,1.0,5
Gapminder,complete,euclidean,0.0,continent,Europe,clusters,1.0,5
Gapminder,complete,euclidean,0.0,continent,Europe,gen_base_1,1.0,5
Gapminder,complete,euclidean,0.0,continent,Europe,gen_base_2,1.0,5
Gapminder,complete,euclidean,0.0,continent,Oceania,base,1.0,5
Gapminder,complete,euclidean,0.0,continent,Oceania,clusters,0.85,5
Gapminder,complete,euclidean,0.0,continent,Oceania,gen_base_1,1.0,5
Gapminder,complete,euclidean,0.0,continent,Oceania,gen_base_2,1.0,5
Gapminder,complete,euclidean,0.0,development,High,base,1.0,5
Gapminder,complete,euclidean,0.0,development,High,clusters,0.425531914893617,5
Gapminder,complete,euclidean,0.0,development,High,gen_base_1,1.0,5
Gapminder,complete,euclidean,0.0,development,High,gen_base_2,1.0,5
Gapminder,complete,euclidean,0.0,development,Low,base,1.0,5
Gapminder,complete,euclidean,0.0,development,Low,clusters,0.9583333333333334,5
Gapminder,complete,euclidean,0.0,development,Low,gen_base_1,1.0,5
Gapminder,complete,euclidean,0.0,development,Low,gen_base_2,1.0,5
Gapminder,complete,euclidean,0.0,development,MedHigh,base,1.0,5
Gapminder,complete,euclidean,0.0,development,MedHigh,clusters,0.5081967213114754,5
Gapminder,complete,euclidean,0.0,development,MedHigh,gen_base_1,1.0,5
Gapminder,complete,euclidean,0.0,development,MedHigh,gen_base_2,1.0,5
