dataset,family,seed,base,closure_size,interior_size,seed_size,n_total,expansion_ratio,retention_ratio,closure_prop
Gapminder,continent,Africa,base,71.0,39.0,52.0,142.0,1.3653846153846154,0.75,0.5
Gapminder,continent,Africa,clusters,106.0,0.0,52.0,142.0,2.0384615384615383,0.0,0.7464788732394366
Gapminder,continent,Africa,gen_base_1,99.5,36.0,52.0,142.0,1.9134615384615385,0.6923076923076923,0.7007042253521126
Gapminder,continent,Africa,gen_base_2,136.0,37.5,52.0,142.0,2.6153846153846154,0.7211538461538461,0.9577464788732394
Gapminder,continent,Americas,base,50.0,8.0,25.0,142.0,2.0,0.32,0.352112676056338
Gapminder,continent,Americas,clusters,140.0,0.0,25.0,142.0,5.6,0.0,0.9859154929577465
Gapminder,continent,Americas,gen_base_1,89.5,3.5,25.0,142.0,3.58,0.14,0.6302816901408451
Gapminder,continent,Americas,gen_base_2,140.0,8.0,25.0,142.0,5.6,0.32,0.9859154929577465
Gapminder,continent,Asia,base,62.0,10.0,33.0,142.0,1.878787878787879,0.30303030303030304,0.43661971830985913
Gapminder,continent,Asia,clusters,142.0,2.0,33.0,142.0,4.303030303030303,0.06060606060606061,1.0
Gapminder,continent,Asia,gen_base_1,115.0,6.0,33.0,142.0,3.484848484848485,0.18181818181818182,0.8098591549295775
Gapminder,continent,Asia,gen_base_2,142.0,9.0,33.0,142.0,4.303030303030303,0.2727272727272727,1.0
Gapminder,continent,Europe,base,53.0,10.0,30.0,142.0,1.7666666666666666,0.3333333333333333,0.3732394366197183
Gapminder,continent,Europe,clusters,94.0,0.0,30.0,142.0,3.1333333333333333,0.0,0.6619718309859155
Gapminder,continent,Europe,gen_base_1,77.0,8.0,30.0,142.0,2.566666666666667,0.26666666666666666,0.5422535211267606
Gapminder,continent,Europe,gen_base_2,132.0,10.0,30.0,142.0,4.4,0.3333333333333333,0.9295774647887324
Gapminder,continent,Oceania,base,6.0,0.0,2.0,142.0,3.0,0.0,0.04225352112676056
Gapminder,continent,Oceania,clusters,34.0,0.0,2.0,142.0,17.0,0.0,0.23943661971830985
Gapminder,continent,Oceania,gen_base_1,20.0,0.0,2.0,142.0,10.0,0.0,0.14084507042253522
Gapminder,continent,Oceania,gen_base_2,96.5,0.0,2.0,142.0,48.25,0.0,0.6795774647887324
Gapminder,development,High,base,39.0,33.5,36.0,142.0,1.0833333333333333,0.9305555555555556,0.2746478873239437
Gapminder,development,High,clusters,94.0,33.5,36.0,142.0,2.611111111111111,0.9305555555555556,0.6619718309859155
Gapminder,development,High,gen_base_1,47.0,33.0,36.0,142.0,1.3055555555555556,0.9166666666666666,0.33098591549295775
Gapminder,development,High,gen_base_2,122.0,33.0,36.0,142.0,3.388888888888889,0.9166666666666666,0.8591549295774648
Gapminder,development,Low,base,42.0,34.0,36.0,142.0,1.1666666666666667,0.9444444444444444,0.29577464788732394
Gapminder,development,Low,clusters,46.0,0.0,36.0,142.0,1.2777777777777777,0.0,0.323943661971831
Gapminder,development,Low,gen_base_1,50.0,34.0,36.0,142.0,1.3888888888888888,0.9444444444444444,0.352112676056338
Gapminder,development,Low,gen_base_2,111.5,34.0,36.0,142.0,3.0972222222222223,0.9444444444444444,0.7852112676056338
Gapminder,development,MedHigh,base,41.5,27.5,35.0,142.0,1.1857142857142857,0.7857142857142857,0.29225352112676056
