dataset,linkage,metric,noise,ari_median,ari_mean,pairs
PISA,single,euclidean,0.0,0.5700055246750025,0.7420033148050015,10
PISA,single,euclidean,0.02,0.5934680826767158,0.7137085671420291,10
PISA,single,cityblock,0.0,0.5700055246750025,0.7420033148050015,10
PISA,single,cityblock,0.02,0.5934680826767158,0.7137085671420291,10
PISA,complete,euclidean,0.0,0.5700055246750025,0.7420033148050015,10
PISA,complete,euclidean,0.02,0.5934680826767158,0.7137085671420291,10
PISA,complete,cityblock,0.0,0.5700055246750025,0.7420033148050015,10
PISA,complete,cityblock,0.02,0.5934680826767158,0.7137085671420291,10
PISA,ward,euclidean,0.0,0.5700055246750025,0.7420033148050015,10
PISA,ward,euclidean,0.02,0.5934680826767158,0.7137085671420291,10
