dataset,linkage,metric,noise,family,seed,base,jaccard_median,runs
PISA,complete,cityblock,0.0,continent,Africa,base,1.0,5
PISA,complete,cityblock,0.0,continent,Africa,clusters,0.8888888888888888,5
PISA,complete,cityblock,0.0,continent,Africa,gen_base_1,1.0,5
PISA,complete,cityblock,0.0,continent,Africa,gen_base_2,1.0,5
PISA,complete,cityblock,0.0,continent,Asia,base,1.0,5
PISA,complete,cityblock,0.0,continent,Asia,clusters,1.0,5
PISA,complete,cityblock,0.0,continent,Asia,gen_base_1,1.0,5
PISA,complete,cityblock,0.0,continent,Asia,gen_base_2,1.0,5
PISA,complete,cityblock,0.0,continent,Europe,base,1.0,5
PISA,complete,cityblock,0.0,continent,Europe,clusters,1.0,5
PISA,complete,cityblock,0.0,continent,Europe,gen_base_1,1.0,5
PISA,complete,cityblock,0.0,continent,Europe,gen_base_2,1.0,5
PISA,complete,cityblock,0.0,continent,NorthAmerica,base,1.0,5
PISA,complete,cityblock,0.0,continent,NorthAmerica,clusters,0.7407407407407407,5
PISA,complete,cityblock,0.0,continent,NorthAmerica,gen_base_1,1.0,5
PISA,complete,cityblock,0.0,continent,NorthAmerica,gen_base_2,1.0,5
PISA,complete,cityblock,0.0,continent,Oceania,base,1.0,5
PISA,complete,cityblock,0.0,continent,Oceania,clusters,1.0,5
PISA,complete,cityblock,0.0,continent,Oceania,gen_base_1,1.0,5
PISA,complete,cityblock,0.0,continent,Oceania,gen_base_2,1.0,5
PISA,complete,cityblock,0.0,continent,SouthAmerica,base,1.0,5
PISA,complete,cityblock,0.0,continent,SouthAmerica,clusters,0.8958333333333334,5
PISA,complete,cityblock,0.0,continent,SouthAmerica,gen_base_1,1.0,5
PISA,complete,cityblock,0.0,continent,SouthAmerica,gen_base_2,1.0,5
PISA,complete,cityblock,0.0,density,ExtremeDensity,base,1.0,5
PISA,complete,cityblock,0.0,density,ExtremeDensity,clusters,0.8085106382978723,5
PISA,complete,cityblock,0.0,density,ExtremeDensity,gen_base_1,1.0,5
PISA,complete,cityblock,0.0,density,ExtremeDensity,gen_base_2,1.0,5
