family,seed,base,closure_size,interior_size,seed_size,n_total,closure_indices,interior_indices,dataset,linkage,metric,noise,random_state
economy,HighEconomy,gen_base_1,76,38,46,81,"0,1,2,3,4,5,6,7,8,10,11,12,13,14,15,16,17,18,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,80","2,3,5,10,11,15,17,18,21,22,23,25,28,29,32,33,34,39,41,42,45,51,52,54,60,61,62,63,66,67,68,69,70,71,75,76,77,78",PISA,single,euclidean,0.0,11
economy,HighEconomy,gen_base_2,69,38,46,81,"0,1,2,3,4,5,6,7,8,10,11,12,15,16,17,18,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,38,39,41,42,43,44,45,47,48,49,51,52,53,54,56,57,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,80","2,3,5,10,11,15,17,18,21,22,23,25,28,29,32,33,34,39,41,42,45,51,52,54,60,61,62,63,66,67,68,69,70,71,75,76,77,78",PISA,single,euclidean,0.0,11
economy,HighEconomy,base,56,39,46,81,"2,3,4,5,7,10,11,12,15,16,17,18,21,22,23,24,25,26,28,29,30,32,33,34,36,38,39,41,42,43,44,45,48,51,52,53,54,56,60,61,62,63,64,65,66,67,68,69,70,71,72,74,75,76,77,78","2,3,5,10,11,15,17,18,21,22,23,25,28,29,32,33,34,39,41,42,45,51,52,54,56,60,61,62,63,66,67,68,69,70,71,75,76,77,78",PISA,single,euclidean,0.0,11
economy,HighEconomy,clusters,81,0,46,81,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80",,PISA,single,euclidean,0.0,11
economy,MediumHighEconomy,gen_base_1,67,16,27,81,"0,1,3,4,5,6,7,8,9,11,12,13,14,15,16,19,20,21,23,24,25,26,27,28,29,30,31,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,53,54,55,56,57,58,59,61,62,63,64,65,67,69,72,73,74,75,78,79,80","0,1,6,8,13,14,19,20,27,31,35,46,47,49,57,58",PISA,single,euclidean,0.0,11
economy,MediumHighEconomy,gen_base_2,62,16,27,81,"0,1,4,6,7,8,9,11,12,13,14,15,16,19,20,21,23,24,26,27,28,29,30,31,33,34,35,36,37,38,39,40,42,43,44,45,46,47,48,49,50,53,54,55,56,57,58,59,61,62,63,64,65,67,69,72,73,74,75,78,79,80","0,1,6,8,13,14,19,20,27,31,35,46,47,49,57,58",PISA,single,euclidean,0.0,11
economy,MediumHighEconomy,base,40,17,27,81,"0,1,4,6,7,8,12,13,14,16,19,20,24,26,27,30,31,35,36,37,38,40,43,44,46,47,48,49,50,53,55,57,58,59,64,65,72,73,74,79","0,1,6,8,13,14,19,20,27,31,35,46,47,49,57,58,73",PISA,single,euclidean,0.0,11
economy,MediumHighEconomy,clusters,81,0,27,81,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80",,PISA,single,euclidean,0.0,11
economy,MediumLowEconomy,gen_base_1,66,0,8,81,"0,1,3,4,5,6,7,8,9,11,13,14,15,16,17,18,19,20,23,24,25,26,27,29,30,31,33,34,35,37,38,40,41,42,44,45,46,47,48,49,50,51,53,54,55,57,58,59,60,61,62,63,64,65,67,68,69,70,72,73,74,75,76,78,79,80",,PISA,single,euclidean,0.0,11
economy,MediumLowEconomy,gen_base_2,47,0,8,81,"0,3,5,7,8,9,11,15,16,19,23,25,26,29,30,31,33,34,37,38,40,41,42,44,45,47,48,49,50,51,54,55,59,61,62,63,65,67,68,69,72,73,74,75,78,79,80",,PISA,single,euclidean,0.0,11
