dataset,family,base,closure_size,interior_size,expansion_ratio,retention_ratio,closure_prop
PISA,continent,base,15.5,1.0,1.7777777777777777,0.14285714285714285,0.19135802469135801
PISA,continent,clusters,57.5,0.0,6.857142857142857,0.0,0.7098765432098766
PISA,continent,gen_base_1,80.5,0.0,9.0,0.0,0.9938271604938271
PISA,continent,gen_base_2,37.0,0.0,4.0,0.0,0.4567901234567901
PISA,density,base,19.0,2.0,2.333333333333333,0.25,0.2345679012345679
PISA,density,clusters,66.5,0.0,9.25,0.0,0.8209876543209876
PISA,density,gen_base_1,81.0,1.5,12.75,0.11538461538461539,1.0
PISA,density,gen_base_2,54.25,2.0,5.541666666666666,0.2403846153846154,0.6697530864197531
PISA,economy,base,42.0,14.0,1.5555555555555556,0.5185185185185185,0.5185185185185185
PISA,economy,clusters,81.0,0.0,3.0,0.0,1.0
PISA,economy,gen_base_1,81.0,14.0,3.0,0.5185185185185185,1.0
PISA,economy,gen_base_2,62.0,14.0,2.2962962962962963,0.5185185185185185,0.7654320987654321
PISA,government,base,36.0,5.0,2.1538461538461537,0.21413721413721415,0.4444444444444444
PISA,government,clusters,81.0,0.0,4.6510989010989015,0.0,1.0
PISA,government,gen_base_1,81.0,4.0,5.043956043956044,0.17567567567567569,1.0
PISA,government,gen_base_2,60.75,4.0,3.5613553113553116,0.16216216216216217,0.75
