dataset,linkage,metric,noise,ari_median,ari_mean,pairs
Synthetic-blobs,single,euclidean,0.0,0.0011585726127232511,0.0005050856907324305,10
Synthetic-blobs,single,euclidean,0.02,0.0011585726127232511,0.0005050856907324305,10
Synthetic-blobs,single,cityblock,0.0,0.0011585726127232511,0.0005050856907324305,10
Synthetic-blobs,single,cityblock,0.02,0.0011585726127232511,0.0005050856907324305,10
Synthetic-blobs,complete,euclidean,0.0,0.0011585726127232511,0.0005050856907324305,10
Synthetic-blobs,complete,euclidean,0.02,0.0011585726127232511,0.0005050856907324305,10
Synthetic-blobs,complete,cityblock,0.0,0.0011585726127232511,0.0005050856907324305,10
Synthetic-blobs,complete,cityblock,0.02,0.0011585726127232511,0.0005050856907324305,10
Synthetic-blobs,ward,euclidean,0.0,0.0011585726127232511,0.0005050856907324305,10
Synthetic-blobs,ward,euclidean,0.02,0.0011585726127232511,0.0005050856907324305,10
