dataset,linkage,metric,noise,family,seed,base,jaccard_median,runs
Synthetic-blobs,complete,cityblock,0.0,cluster_true,cluster_0,base,0.2558139534883721,5
Synthetic-blobs,complete,cityblock,0.0,cluster_true,cluster_0,clusters,0.2558139534883721,5
Synthetic-blobs,complete,cityblock,0.0,cluster_true,cluster_0,gen_base_1,0.2558139534883721,5
Synthetic-blobs,complete,cityblock,0.0,cluster_true,cluster_0,gen_base_2,0.2730682670667667,5
Synthetic-blobs,complete,cityblock,0.0,cluster_true,cluster_1,base,0.21224489795918366,5
Synthetic-blobs,complete,cityblock,0.0,cluster_true,cluster_1,clusters,0.22272727272727272,5
Synthetic-blobs,complete,cityblock,0.0,cluster_true,cluster_1,gen_base_1,0.24722222222222223,5
Synthetic-blobs,complete,cityblock,0.0,cluster_true,cluster_1,gen_base_2,0.22784313725490196,5
Synthetic-blobs,complete,cityblock,0.0,cluster_true,cluster_2,base,0.18181818181818182,5
Synthetic-blobs,complete,cityblock,0.0,cluster_true,cluster_2,clusters,0.20995670995670995,5
Synthetic-blobs,complete,cityblock,0.0,cluster_true,cluster_2,gen_base_1,0.18665377176015474,5
Synthetic-blobs,complete,cityblock,0.0,cluster_true,cluster_2,gen_base_2,0.2080965909090909,5
Synthetic-blobs,complete,cityblock,0.0,regime,regime_0,base,0.36802355350742444,5
Synthetic-blobs,complete,cityblock,0.0,regime,regime_0,clusters,0.6125,5
Synthetic-blobs,complete,cityblock,0.0,regime,regime_0,gen_base_1,0.5132613865008231,5
Synthetic-blobs,complete,cityblock,0.0,regime,regime_0,gen_base_2,0.4931455399061033,5
Synthetic-blobs,complete,cityblock,0.0,regime,regime_1,base,0.4076704545454546,5
Synthetic-blobs,complete,cityblock,0.0,regime,regime_1,clusters,0.5070422535211268,5
Synthetic-blobs,complete,cityblock,0.0,regime,regime_1,gen_base_1,0.4593406593406594,5
Synthetic-blobs,complete,cityblock,0.0,regime,regime_1,gen_base_2,0.5145948152684221,5
Synthetic-blobs,complete,cityblock,0.02,cluster_true,cluster_0,base,0.2558139534883721,5
Synthetic-blobs,complete,cityblock,0.02,cluster_true,cluster_0,clusters,0.2558139534883721,5
Synthetic-blobs,complete,cityblock,0.02,cluster_true,cluster_0,gen_base_1,0.25290697674418605,5
Synthetic-blobs,complete,cityblock,0.02,cluster_true,cluster_0,gen_base_2,0.2730682670667667,5
Synthetic-blobs,complete,cityblock,0.02,cluster_true,cluster_1,base,0.2344671201814059,5
Synthetic-blobs,complete,cityblock,0.02,cluster_true,cluster_1,clusters,0.22272727272727272,5
Synthetic-blobs,complete,cityblock,0.02,cluster_true,cluster_1,gen_base_1,0.2575366063738157,5
Synthetic-blobs,complete,cityblock,0.02,cluster_true,cluster_1,gen_base_2,0.24037037037037035,5
Synthetic-blobs,complete,cityblock,0.02,cluster_true,cluster_2,base,0.18181818181818182,5
Synthetic-blobs,complete,cityblock,0.02,cluster_true,cluster_2,clusters,0.20995670995670995,5
Synthetic-blobs,complete,cityblock,0.02,cluster_true,cluster_2,gen_base_1,0.23255813953488372,5
Synthetic-blobs,complete,cityblock,0.02,cluster_true,cluster_2,gen_base_2,0.21869565217391304,5
Synthetic-blobs,complete,cityblock,0.02,regime,regime_0,base,0.36802355350742444,5
Synthetic-blobs,complete,cityblock,0.02,regime,regime_0,clusters,0.6125,5
Synthetic-blobs,complete,cityblock,0.02,regime,regime_0,gen_base_1,0.5375180375180375,5
Synthetic-blobs,complete,cityblock,0.02,regime,regime_0,gen_base_2,0.4964788732394366,5
Synthetic-blobs,complete,cityblock,0.02,regime,regime_1,base,0.4076704545454546,5
Synthetic-blobs,complete,cityblock,0.02,regime,regime_1,clusters,0.5070422535211268,5
Synthetic-blobs,complete,cityblock,0.02,regime,regime_1,gen_base_1,0.47505030181086516,5
Synthetic-blobs,complete,cityblock,0.02,regime,regime_1,gen_base_2,0.5145948152684221,5
Synthetic-blobs,complete,euclidean,0.0,cluster_true,cluster_0,base,0.2558139534883721,5
Synthetic-blobs,complete,euclidean,0.0,cluster_true,cluster_0,clusters,0.2558139534883721,5
