family,seed,base,closure_size,interior_size,seed_size,n_total,closure_indices,interior_indices,dataset,linkage,metric,noise,random_state,label_family,label_value,closure_purity,interior_purity
cluster_true,cluster_0,gen_base_1,27,27,27,80,"4,5,7,8,10,14,15,16,27,31,33,34,35,36,39,41,42,44,45,48,58,59,61,64,73,76,79","4,5,7,8,10,14,15,16,27,31,33,34,35,36,39,41,42,44,45,48,58,59,61,64,73,76,79",Synthetic-blobs,single,euclidean,0.0,11,cluster_true,0,1.0,1.0
cluster_true,cluster_0,gen_base_2,27,27,27,80,"4,5,7,8,10,14,15,16,27,31,33,34,35,36,39,41,42,44,45,48,58,59,61,64,73,76,79","4,5,7,8,10,14,15,16,27,31,33,34,35,36,39,41,42,44,45,48,58,59,61,64,73,76,79",Synthetic-blobs,single,euclidean,0.0,11,cluster_true,0,1.0,1.0
cluster_true,cluster_0,base,27,27,27,80,"4,5,7,8,10,14,15,16,27,31,33,34,35,36,39,41,42,44,45,48,58,59,61,64,73,76,79","4,5,7,8,10,14,15,16,27,31,33,34,35,36,39,41,42,44,45,48,58,59,61,64,73,76,79",Synthetic-blobs,single,euclidean,0.0,11,cluster_true,0,1.0,1.0
cluster_true,cluster_0,clusters,27,27,27,80,"4,5,7,8,10,14,15,16,27,31,33,34,35,36,39,41,42,44,45,48,58,59,61,64,73,76,79","4,5,7,8,10,14,15,16,27,31,33,34,35,36,39,41,42,44,45,48,58,59,61,64,73,76,79",Synthetic-blobs,single,euclidean,0.0,11,cluster_true,0,1.0,1.0
cluster_true,cluster_1,gen_base_1,29,27,27,80,"1,2,6,11,12,13,19,21,23,25,28,29,30,32,40,46,47,50,52,54,55,56,57,63,67,69,72,75,77","1,2,6,11,12,13,19,21,23,25,28,29,30,32,40,46,47,50,52,54,55,56,63,67,69,72,75",Synthetic-blobs,single,euclidean,0.0,11,cluster_true,1,0.9310344827586207,1.0
cluster_true,cluster_1,gen_base_2,29,27,27,80,"1,2,6,11,12,13,19,21,23,25,28,29,30,32,40,46,47,50,52,54,55,56,57,63,67,69,72,75,77","1,2,6,11,12,13,19,21,23,25,28,29,30,32,40,46,47,50,52,54,55,56,63,67,69,72,75",Synthetic-blobs,single,euclidean,0.0,11,cluster_true,1,0.9310344827586207,1.0
cluster_true,cluster_1,base,27,27,27,80,"1,2,6,11,12,13,19,21,23,25,28,29,30,32,40,46,47,50,52,54,55,56,63,67,69,72,75","1,2,6,11,12,13,19,21,23,25,28,29,30,32,40,46,47,50,52,54,55,56,63,67,69,72,75",Synthetic-blobs,single,euclidean,0.0,11,cluster_true,1,1.0,1.0
cluster_true,cluster_1,clusters,28,13,27,80,"1,2,6,11,12,13,19,20,21,23,25,28,29,30,32,40,46,47,50,52,54,55,56,63,67,69,72,75","1,2,11,12,21,25,28,30,32,52,54,67,69",Synthetic-blobs,single,euclidean,0.0,11,cluster_true,1,0.9642857142857143,1.0
cluster_true,cluster_2,gen_base_1,27,26,26,80,"0,3,9,17,18,20,21,22,24,26,37,38,43,49,51,53,57,60,62,65,66,68,70,71,74,77,78","0,3,9,17,18,20,22,24,26,37,38,43,49,51,53,57,60,62,65,66,68,70,71,74,77,78",Synthetic-blobs,single,euclidean,0.0,11,cluster_true,2,0.9629629629629629,1.0
cluster_true,cluster_2,gen_base_2,27,26,26,80,"0,3,9,17,18,20,21,22,24,26,37,38,43,49,51,53,57,60,62,65,66,68,70,71,74,77,78","0,3,9,17,18,20,22,24,26,37,38,43,49,51,53,57,60,62,65,66,68,70,71,74,77,78",Synthetic-blobs,single,euclidean,0.0,11,cluster_true,2,0.9629629629629629,1.0
cluster_true,cluster_2,base,26,26,26,80,"0,3,9,17,18,20,22,24,26,37,38,43,49,51,53,57,60,62,65,66,68,70,71,74,77,78","0,3,9,17,18,20,22,24,26,37,38,43,49,51,53,57,60,62,65,66,68,70,71,74,77,78",Synthetic-blobs,single,euclidean,0.0,11,cluster_true,2,1.0,1.0
