dataset,family,seed,base,closure_size,interior_size,seed_size,n_total,closure_purity,interior_purity,expansion_ratio,retention_ratio,closure_prop
Synthetic-blobs,cluster_true,cluster_0,base,27.0,27.0,27.0,80.0,1.0,1.0,1.0,1.0,0.3375
Synthetic-blobs,cluster_true,cluster_0,clusters,27.0,27.0,27.0,80.0,1.0,1.0,1.0,1.0,0.3375
Synthetic-blobs,cluster_true,cluster_0,gen_base_1,27.0,27.0,27.0,80.0,1.0,1.0,1.0,1.0,0.3375
Synthetic-blobs,cluster_true,cluster_0,gen_base_2,27.0,27.0,27.0,80.0,1.0,1.0,1.0,1.0,0.3375
Synthetic-blobs,cluster_true,cluster_1,base,27.0,27.0,27.0,80.0,1.0,1.0,1.0,1.0,0.3375
Synthetic-blobs,cluster_true,cluster_1,clusters,27.0,27.0,27.0,80.0,1.0,1.0,1.0,1.0,0.3375
Synthetic-blobs,cluster_true,cluster_1,gen_base_1,29.0,27.0,27.0,80.0,0.9310344827586208,1.0,1.0740740740740742,1.0,0.3625
Synthetic-blobs,cluster_true,cluster_1,gen_base_2,29.0,27.0,27.0,80.0,0.9310344827586208,1.0,1.0740740740740742,1.0,0.3625
Synthetic-blobs,cluster_true,cluster_2,base,26.0,26.0,26.0,80.0,1.0,1.0,1.0,1.0,0.325
Synthetic-blobs,cluster_true,cluster_2,clusters,26.0,26.0,26.0,80.0,1.0,1.0,1.0,1.0,0.325
Synthetic-blobs,cluster_true,cluster_2,gen_base_1,26.0,26.0,26.0,80.0,1.0,1.0,1.0,1.0,0.325
Synthetic-blobs,cluster_true,cluster_2,gen_base_2,26.0,26.0,26.0,80.0,1.0,1.0,1.0,1.0,0.325
Synthetic-blobs,regime,regime_0,base,43.5,36.0,40.0,80.0,0.919661733615222,1.0,1.0875,0.9,0.54375
Synthetic-blobs,regime,regime_0,clusters,65.0,27.0,40.0,80.0,0.6153846153846154,1.0,1.625,0.675,0.8125
Synthetic-blobs,regime,regime_0,gen_base_1,55.0,34.0,40.0,80.0,0.7272727272727273,1.0,1.375,0.85,0.6875
Synthetic-blobs,regime,regime_0,gen_base_2,53.0,34.0,40.0,80.0,0.7547169811320755,1.0,1.325,0.85,0.6625
Synthetic-blobs,regime,regime_1,base,44.0,36.5,40.0,80.0,0.9090909090909092,1.0,1.1,0.9125,0.55
Synthetic-blobs,regime,regime_1,clusters,53.0,15.0,40.0,80.0,0.7547169811320755,1.0,1.325,0.375,0.6625
Synthetic-blobs,regime,regime_1,gen_base_1,51.0,36.0,40.0,80.0,0.7843137254901961,1.0,1.275,0.9,0.6375
Synthetic-blobs,regime,regime_1,gen_base_2,51.0,36.0,40.0,80.0,0.7843137254901961,1.0,1.275,0.9,0.6375
