dataset,linkage,metric,noise,ari_median,ari_mean,pairs
UCI-iris,single,euclidean,0.0,0.7759681923288517,0.7158578888641198,10
UCI-iris,single,euclidean,0.02,0.7792481691817223,0.7584019541888292,10
UCI-iris,single,cityblock,0.0,0.7759681923288517,0.7158578888641198,10
UCI-iris,single,cityblock,0.02,0.7792481691817223,0.7584019541888292,10
UCI-iris,complete,euclidean,0.0,0.7759681923288517,0.7158578888641198,10
UCI-iris,complete,euclidean,0.02,0.7792481691817223,0.7584019541888292,10
UCI-iris,complete,cityblock,0.0,0.7759681923288517,0.7158578888641198,10
UCI-iris,complete,cityblock,0.02,0.7792481691817223,0.7584019541888292,10
UCI-iris,ward,euclidean,0.0,0.7759681923288517,0.7158578888641198,10
UCI-iris,ward,euclidean,0.02,0.7792481691817223,0.7584019541888292,10
