dataset,linkage,metric,noise,family,seed,base,jaccard_median,runs
UCI-iris,complete,cityblock,0.0,label,class_0,base,1.0,5
UCI-iris,complete,cityblock,0.0,label,class_0,clusters,0.9705882352941176,5
UCI-iris,complete,cityblock,0.0,label,class_0,gen_base_1,1.0,5
UCI-iris,complete,cityblock,0.0,label,class_0,gen_base_2,1.0,5
UCI-iris,complete,cityblock,0.0,label,class_1,base,1.0,5
UCI-iris,complete,cityblock,0.0,label,class_1,clusters,0.9323835368611488,5
UCI-iris,complete,cityblock,0.0,label,class_1,gen_base_1,1.0,5
UCI-iris,complete,cityblock,0.0,label,class_1,gen_base_2,1.0,5
UCI-iris,complete,cityblock,0.0,label,class_2,base,1.0,5
UCI-iris,complete,cityblock,0.0,label,class_2,clusters,0.9850746268656716,5
UCI-iris,complete,cityblock,0.0,label,class_2,gen_base_1,1.0,5
UCI-iris,complete,cityblock,0.0,label,class_2,gen_base_2,1.0,5
UCI-iris,complete,cityblock,0.0,sepal length (cm)_quantiles,High,base,1.0,5
UCI-iris,complete,cityblock,0.0,sepal length (cm)_quantiles,High,clusters,0.9696969696969697,5
UCI-iris,complete,cityblock,0.0,sepal length (cm)_quantiles,High,gen_base_1,1.0,5
UCI-iris,complete,cityblock,0.0,sepal length (cm)_quantiles,High,gen_base_2,1.0,5
UCI-iris,complete,cityblock,0.0,sepal length (cm)_quantiles,Low,base,1.0,5
UCI-iris,complete,cityblock,0.0,sepal length (cm)_quantiles,Low,clusters,0.7164179104477612,5
UCI-iris,complete,cityblock,0.0,sepal length (cm)_quantiles,Low,gen_base_1,1.0,5
UCI-iris,complete,cityblock,0.0,sepal length (cm)_quantiles,Low,gen_base_2,1.0,5
UCI-iris,complete,cityblock,0.0,sepal length (cm)_quantiles,MedHigh,base,1.0,5
UCI-iris,complete,cityblock,0.0,sepal length (cm)_quantiles,MedHigh,clusters,0.9850746268656716,5
UCI-iris,complete,cityblock,0.0,sepal length (cm)_quantiles,MedHigh,gen_base_1,1.0,5
UCI-iris,complete,cityblock,0.0,sepal length (cm)_quantiles,MedHigh,gen_base_2,1.0,5
UCI-iris,complete,cityblock,0.0,sepal length (cm)_quantiles,MedLow,base,1.0,5
UCI-iris,complete,cityblock,0.0,sepal length (cm)_quantiles,MedLow,clusters,0.8173572459286745,5
UCI-iris,complete,cityblock,0.0,sepal length (cm)_quantiles,MedLow,gen_base_1,1.0,5
UCI-iris,complete,cityblock,0.0,sepal length (cm)_quantiles,MedLow,gen_base_2,1.0,5
UCI-iris,complete,cityblock,0.02,label,class_0,base,1.0,5
UCI-iris,complete,cityblock,0.02,label,class_0,clusters,0.9705882352941176,5
UCI-iris,complete,cityblock,0.02,label,class_0,gen_base_1,0.5789473684210527,5
UCI-iris,complete,cityblock,0.02,label,class_0,gen_base_2,0.559322033898305,5
UCI-iris,complete,cityblock,0.02,label,class_1,base,0.9047619047619048,5
UCI-iris,complete,cityblock,0.02,label,class_1,clusters,0.9850746268656716,5
UCI-iris,complete,cityblock,0.02,label,class_1,gen_base_1,0.5285115979381443,5
UCI-iris,complete,cityblock,0.02,label,class_1,gen_base_2,0.48705970790378006,5
UCI-iris,complete,cityblock,0.02,label,class_2,base,0.9480431848852902,5
UCI-iris,complete,cityblock,0.02,label,class_2,clusters,0.9850746268656716,5
UCI-iris,complete,cityblock,0.02,label,class_2,gen_base_1,0.7045454545454546,5
UCI-iris,complete,cityblock,0.02,label,class_2,gen_base_2,0.6861535448491971,5
UCI-iris,complete,cityblock,0.02,sepal length (cm)_quantiles,High,base,0.8575050709939147,5
UCI-iris,complete,cityblock,0.02,sepal length (cm)_quantiles,High,clusters,0.803030303030303,5
UCI-iris,complete,cityblock,0.02,sepal length (cm)_quantiles,High,gen_base_1,0.6388888888888888,5
UCI-iris,complete,cityblock,0.02,sepal length (cm)_quantiles,High,gen_base_2,0.7125191228964813,5
UCI-iris,complete,cityblock,0.02,sepal length (cm)_quantiles,Low,base,0.8910068426197458,5
UCI-iris,complete,cityblock,0.02,sepal length (cm)_quantiles,Low,clusters,0.6917684305744007,5
UCI-iris,complete,cityblock,0.02,sepal length (cm)_quantiles,Low,gen_base_1,0.44871794871794873,5
UCI-iris,complete,cityblock,0.02,sepal length (cm)_quantiles,Low,gen_base_2,0.4691358024691358,5
