dataset,family,seed,base,closure_size,interior_size,seed_size,n_total,closure_purity,interior_purity,expansion_ratio,retention_ratio,closure_prop
UCI-iris,label,class_0,base,33.0,33.0,33.0,99.0,1.0,1.0,1.0,1.0,0.3333333333333333
UCI-iris,label,class_0,clusters,33.0,33.0,33.0,99.0,1.0,1.0,1.0,1.0,0.3333333333333333
UCI-iris,label,class_0,gen_base_1,33.0,33.0,33.0,99.0,1.0,1.0,1.0,1.0,0.3333333333333333
UCI-iris,label,class_0,gen_base_2,33.0,33.0,33.0,99.0,1.0,1.0,1.0,1.0,0.3333333333333333
UCI-iris,label,class_1,base,39.0,28.0,33.0,99.0,0.8461538461538461,1.0,1.1818181818181819,0.8484848484848485,0.3939393939393939
UCI-iris,label,class_1,clusters,66.0,0.0,33.0,99.0,0.5,,2.0,0.0,0.6666666666666666
UCI-iris,label,class_1,gen_base_1,46.0,28.0,33.0,99.0,0.717391304347826,1.0,1.393939393939394,0.8484848484848485,0.46464646464646464
UCI-iris,label,class_1,gen_base_2,47.5,28.0,33.0,99.0,0.694813829787234,1.0,1.4393939393939394,0.8484848484848485,0.4797979797979798
UCI-iris,label,class_2,base,38.0,27.0,33.0,99.0,0.868421052631579,1.0,1.1515151515151516,0.8181818181818182,0.3838383838383838
UCI-iris,label,class_2,clusters,66.0,0.0,33.0,99.0,0.5,1.0,2.0,0.0,0.6666666666666666
UCI-iris,label,class_2,gen_base_1,47.0,27.0,33.0,99.0,0.7021276595744681,1.0,1.4242424242424243,0.8181818181818182,0.47474747474747475
UCI-iris,label,class_2,gen_base_2,54.0,27.0,33.0,99.0,0.6111111111111112,1.0,1.6363636363636365,0.8181818181818182,0.5454545454545454
UCI-iris,sepal length (cm)_quantiles,High,base,25.5,20.0,23.5,99.0,,,1.0851063829787233,0.851063829787234,0.25757575757575757
UCI-iris,sepal length (cm)_quantiles,High,clusters,42.0,0.0,23.5,99.0,,,1.7872340425531914,0.0,0.42424242424242425
UCI-iris,sepal length (cm)_quantiles,High,gen_base_1,36.0,19.0,23.5,99.0,,,1.5319148936170213,0.8085106382978723,0.36363636363636365
UCI-iris,sepal length (cm)_quantiles,High,gen_base_2,41.5,20.0,23.5,99.0,,,1.7659574468085106,0.851063829787234,0.41919191919191917
UCI-iris,sepal length (cm)_quantiles,Low,base,28.0,23.0,26.0,99.0,,,1.0769230769230769,0.8846153846153846,0.2828282828282828
UCI-iris,sepal length (cm)_quantiles,Low,clusters,66.0,1.0,26.0,99.0,,,2.5384615384615383,0.038461538461538464,0.6666666666666666
UCI-iris,sepal length (cm)_quantiles,Low,gen_base_1,35.5,22.0,26.0,99.0,,,1.3653846153846154,0.8461538461538461,0.35858585858585856
UCI-iris,sepal length (cm)_quantiles,Low,gen_base_2,35.0,22.0,26.0,99.0,,,1.3461538461538463,0.8461538461538461,0.35353535353535354
UCI-iris,sepal length (cm)_quantiles,MedHigh,base,30.0,19.0,25.0,99.0,,,1.2,0.76,0.30303030303030304
UCI-iris,sepal length (cm)_quantiles,MedHigh,clusters,66.0,0.0,25.0,99.0,,,2.64,0.0,0.6666666666666666
UCI-iris,sepal length (cm)_quantiles,MedHigh,gen_base_1,53.0,13.0,25.0,99.0,,,2.12,0.52,0.5353535353535354
UCI-iris,sepal length (cm)_quantiles,MedHigh,gen_base_2,54.0,14.0,25.0,99.0,,,2.16,0.56,0.5454545454545454
UCI-iris,sepal length (cm)_quantiles,MedLow,base,31.0,20.5,24.5,99.0,,,1.2653061224489797,0.8367346938775511,0.31313131313131315
UCI-iris,sepal length (cm)_quantiles,MedLow,clusters,82.0,0.0,24.5,99.0,,,3.3469387755102042,0.0,0.8282828282828283
UCI-iris,sepal length (cm)_quantiles,MedLow,gen_base_1,58.0,15.0,24.5,99.0,,,2.36734693877551,0.6122448979591837,0.5858585858585859
UCI-iris,sepal length (cm)_quantiles,MedLow,gen_base_2,63.0,16.0,24.5,99.0,,,2.5714285714285716,0.6530612244897959,0.6363636363636364
